country,iso3c,region,Urban population (% of total population),Rural population (% of total population),Proportion of people living below 50 percent of median income (%),"Population, total",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),"Physicians (per 1,000 people)","Life expectancy at birth, total (years)","GDP per capita, PPP (current international $)"
Puerto Rico,PRI,Latin America & Caribbean,93.61,6.39,NA,3221789,22.9302021548964,367.834611048478,1.75,80.162,40497.5768357418
Qatar,QAT,Middle East & North Africa,99.318,0.682000000000002,NA,2695122,1.52013526660389,233.963011314186,2.4852,79.272,114648.031550383
Romania,ROU,Europe & Central Asia,54.489,45.511,18,18956666,18.642107018591,83.1010083449235,2.9807,72.9609756097561,41887.9219020734
Russian Federation,RUS,Europe & Central Asia,75.126,24.874,9.8,143555736,15.797929276915,8.75926144617378,3.8187,69.3612195121951,36484.6796875
Rwanda,RWA,Sub-Saharan Africa,17.721,82.279,12.4,13776698,3.19693816315557,545.678475881638,0.1182,66.072,2792.42162516676
Samoa,WSM,East Asia & Pacific,17.616,82.384,11.4,222382,5.21827306166866,78.6920863309353,0.5998,72.767,6041.15666144148
San Marino,SMR,Europe & Central Asia,97.732,2.268,NA,33660,20.457212459708,562.416666666667,6.1094,NA,67982.9705125724
Sao Tome and Principe,STP,Sub-Saharan Africa,75.755,24.245,12.8,227380,3.76023344232879,232.403125,0.4884,67.591,4738.19172200981
Saudi Arabia,SAU,Middle East & North Africa,84.729,15.271,NA,36408820,2.81012265709243,16.7235257176616,2.7384,76.936,59065.0046408666
Senegal,SEN,Sub-Saharan Africa,49.086,50.914,10.4,17316449,3.13908758083138,87.6576118007583,0.0881,67.093,4208.96497879788
Serbia,SRB,Europe & Central Asia,56.873,43.127,14.6,6760087,20.5577047720407,81.2739445831847,2.4603,72.7307317073171,23911.2012200009
Seychelles,SYC,Sub-Saharan Africa,58.396,41.604,14.3,100060,8.15078627874737,215.778260869565,2.2518,73.3975609756097,35227.817901437
Sierra Leone,SLE,Sub-Saharan Africa,43.831,56.169,7.5,8605718,3.14006919585327,116.661692989748,0.074,60.062,1931.06733078033
Singapore,SGP,East Asia & Pacific,100,0,NA,5637022,15.1173040562606,7595.49582172702,2.4601,83.4414634146342,127564.556573776
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,100,0,NA,43389,10.5647990945105,1260.17647058824,NA,73.972,41811.8021562819
Slovak Republic,SVK,Europe & Central Asia,53.909,46.091,8.8,5431752,16.977513589641,113.295486688852,3.565,74.7146341463415,37459.4738440688
Slovenia,SVN,Europe & Central Asia,55.751,44.249,5.4,2108732,20.9591366157132,104.689964442502,3.277,80.8756097560976,50031.6561840507
Solomon Islands,SLB,East Asia & Pacific,25.584,74.416,11.8,724273,3.46644391441067,25.2894247945695,0.1937,70.348,2654.09111021733
Somalia,SOM,Sub-Saharan Africa,47.324,52.676,NA,17597511,2.570008338111,27.2030812637485,0.023,55.28,1364.10169058781
South Africa,ZAF,Sub-Saharan Africa,68.335,31.665,23.5,59893885,5.89299052905826,48.9594795110008,0.7923,62.341,15904.848362637
South Sudan,SSD,Sub-Saharan Africa,20.846,79.154,18.6,10913164,2.89029849135862,17.0086433623977,0.0374,54.975,1181.93160266504
Spain,ESP,Europe & Central Asia,81.304,18.696,16.5,47615034,20.2650393868057,94.8821207500056,4.4411,83.1780487804878,45825.1956330087
Sri Lanka,LKA,South Asia,19.026,80.974,9.5,22181000,11.5368106557382,358.163595215002,1.2291,76.399,14405.4159547053
St. Kitts and Nevis,KNA,Latin America & Caribbean,30.991,69.009,NA,47657,10.1180296910245,183.1,2.7672,71.682,34051.8820291695
St. Lucia,LCA,Latin America & Caribbean,19.05,80.95,23,179857,9.23147491764314,294.509836065574,0.6409,71.111,17755.9651817692
St. Martin (French part),MAF,Latin America & Caribbean,NA,NA,NA,31791,11.1242175458463,638.96,NA,80.379,NA
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,53.875,46.125,NA,103948,10.8540368936242,267.517948717949,0.941,69.629,17206.7869000948
Sudan,SDN,Sub-Saharan Africa,35.956,64.044,9.7,46874204,3.49951649312274,24.4417569593148,0.2618,65.267,4216.02490234375
Suriname,SUR,Latin America & Caribbean,66.307,33.693,31.5,618040,7.39207220238803,3.92939102564103,0.8194,70.274,17619.8029343957
Sweden,SWE,Europe & Central Asia,88.492,11.508,10.1,10486941,20.2490068816582,25.5738569744311,4.4055,83.1560975609756,64578.3963325427
Switzerland,CHE,Europe & Central Asia,74.092,25.908,11.2,8769741,19.3092546947121,220.285662001897,4.3804,83.8512195121951,83598.453356565
